chrom	start	end	region	coverage	sample
SRX17852076	22944	23351	SARS-CoV-2_77	4291	SRX17852076
SRX17852076	23219	23635	SARS-CoV-2_78	2732	SRX17852076
SRX17852076	23553	23955	SARS-CoV-2_79	294	SRX17852076
SRX17852076	23853	24258	SARS-CoV-2_80	1338	SRX17852076
SRX17852076	24171	24567	SARS-CoV-2_81	4462	SRX17852076
SRX17852076	24426	24836	SARS-CoV-2_82	3064	SRX17852076
SRX17852076	24750	25150	SARS-CoV-2_83	2672	SRX17852076
SRX17852076	25051	25461	SARS-CoV-2_84	4177	SRX17852076
SRX17852076	25331	25740	SARS-CoV-2_85	4900	SRX17852076
SRX17852076	25645	26050	SARS-CoV-2_86	1763	SRX17852076
SRX17852076	25951	26360	SARS-CoV-2_87	3333	SRX17852076
SRX17852076	26242	26661	SARS-CoV-2_88	416	SRX17852076
SRX17852076	26564	26991	SARS-CoV-2_89	2592	SRX17852076
SRX17852076	26873	27283	SARS-CoV-2_90	2385	SRX17852076
SRX17852076	27152	27560	SARS-CoV-2_91	4231	SRX17852076
SRX17852076	27447	27855	SARS-CoV-2_92	2005	SRX17852076
SRX17852076	27700	28104	SARS-CoV-2_93	1989	SRX17852076
SRX17852076	27996	28416	SARS-CoV-2_94	2107	SRX17852076
SRX17852076	28190	28598	SARS-CoV-2_95	3249	SRX17852076
SRX17852076	28512	28914	SARS-CoV-2_96	2826	SRX17852076
SRX17852076	28827	29227	SARS-CoV-2_97	90	SRX17852076
SRX17852076	29136	29534	SARS-CoV-2_98	2046	SRX17852076
SRX17852076	29452	29854	SARS-CoV-2_99	2019	SRX17852076
