chrom	start	end	region	coverage	sample
SRX17852073	20377	20792	SARS-CoV-2_68	702	SRX17852073
SRX17852073	20677	21080	SARS-CoV-2_69	1858	SRX17852073
SRX17852073	20988	21387	SARS-CoV-2_70	1559	SRX17852073
SRX17852073	21294	21700	SARS-CoV-2_71	2658	SRX17852073
SRX17852073	21532	21933	SARS-CoV-2_72	2425	SRX17852073
SRX17852073	21865	22274	SARS-CoV-2_73	653	SRX17852073
SRX17852073	22091	22503	SARS-CoV-2_74	619	SRX17852073
SRX17852073	22402	22805	SARS-CoV-2_75	641	SRX17852073
SRX17852073	22648	23141	SARS-CoV-2_76	1882	SRX17852073
SRX17852073	22944	23351	SARS-CoV-2_77	2617	SRX17852073
SRX17852073	23219	23635	SARS-CoV-2_78	2113	SRX17852073
SRX17852073	23553	23955	SARS-CoV-2_79	148	SRX17852073
SRX17852073	23853	24258	SARS-CoV-2_80	1217	SRX17852073
SRX17852073	24171	24567	SARS-CoV-2_81	3219	SRX17852073
SRX17852073	24426	24836	SARS-CoV-2_82	2061	SRX17852073
SRX17852073	24750	25150	SARS-CoV-2_83	1592	SRX17852073
SRX17852073	25051	25461	SARS-CoV-2_84	2806	SRX17852073
SRX17852073	25331	25740	SARS-CoV-2_85	3350	SRX17852073
SRX17852073	25645	26050	SARS-CoV-2_86	1843	SRX17852073
SRX17852073	25951	26360	SARS-CoV-2_87	2277	SRX17852073
SRX17852073	26242	26661	SARS-CoV-2_88	271	SRX17852073
SRX17852073	26564	26991	SARS-CoV-2_89	1809	SRX17852073
SRX17852073	26873	27283	SARS-CoV-2_90	771	SRX17852073
SRX17852073	27152	27560	SARS-CoV-2_91	2541	SRX17852073
SRX17852073	27447	27855	SARS-CoV-2_92	1542	SRX17852073
SRX17852073	27700	28104	SARS-CoV-2_93	1533	SRX17852073
SRX17852073	27996	28416	SARS-CoV-2_94	1946	SRX17852073
SRX17852073	28190	28598	SARS-CoV-2_95	2206	SRX17852073
SRX17852073	28512	28914	SARS-CoV-2_96	1639	SRX17852073
SRX17852073	28827	29227	SARS-CoV-2_97	114	SRX17852073
SRX17852073	29136	29534	SARS-CoV-2_98	1646	SRX17852073
SRX17852073	29452	29854	SARS-CoV-2_99	1166	SRX17852073
