chrom	start	end	region	coverage	sample
SRX17852074	23553	23955	SARS-CoV-2_79	89	SRX17852074
SRX17852074	23853	24258	SARS-CoV-2_80	566	SRX17852074
SRX17852074	24171	24567	SARS-CoV-2_81	1532	SRX17852074
SRX17852074	24426	24836	SARS-CoV-2_82	1058	SRX17852074
SRX17852074	24750	25150	SARS-CoV-2_83	829	SRX17852074
SRX17852074	25051	25461	SARS-CoV-2_84	1292	SRX17852074
SRX17852074	25331	25740	SARS-CoV-2_85	1788	SRX17852074
SRX17852074	25645	26050	SARS-CoV-2_86	938	SRX17852074
SRX17852074	25951	26360	SARS-CoV-2_87	1266	SRX17852074
SRX17852074	26242	26661	SARS-CoV-2_88	531	SRX17852074
SRX17852074	26564	26991	SARS-CoV-2_89	660	SRX17852074
SRX17852074	26873	27283	SARS-CoV-2_90	1228	SRX17852074
SRX17852074	27152	27560	SARS-CoV-2_91	1264	SRX17852074
SRX17852074	27447	27855	SARS-CoV-2_92	753	SRX17852074
SRX17852074	27700	28104	SARS-CoV-2_93	437	SRX17852074
SRX17852074	27996	28416	SARS-CoV-2_94	858	SRX17852074
SRX17852074	28190	28598	SARS-CoV-2_95	1048	SRX17852074
SRX17852074	28512	28914	SARS-CoV-2_96	871	SRX17852074
SRX17852074	28827	29227	SARS-CoV-2_97	18	SRX17852074
SRX17852074	29136	29534	SARS-CoV-2_98	728	SRX17852074
SRX17852074	29452	29854	SARS-CoV-2_99	623	SRX17852074
